,subject,day,session,left_dots,right_dots,optout_type,response,accuracy,RT,block,difficulty,score
71,1,1,2,52,50,none,right,0,1070.6199999985984,deterministic_optout,3.0,0.0
72,1,1,2,50,56,deterministic,optout,False,1571.8749999978172,deterministic_optout,2.0,2.0
73,1,1,2,50,64,none,left,1,603.3349999997881,deterministic_optout,0.0,3.0
74,1,1,2,60,50,none,right,1,607.864999998128,deterministic_optout,1.0,3.0
75,1,1,2,64,50,deterministic,right,1,641.8950000006589,deterministic_optout,0.0,3.0
76,1,1,2,50,60,deterministic,left,1,576.5500000015891,deterministic_optout,1.0,3.0
77,1,1,2,60,50,deterministic,right,1,608.2649999989371,deterministic_optout,1.0,3.0
78,1,1,2,50,56,deterministic,left,1,588.5699999998906,deterministic_optout,2.0,3.0
79,1,1,2,50,64,deterministic,left,1,721.5800000012678,deterministic_optout,0.0,3.0
80,1,1,2,52,50,deterministic,right,1,949.5849999984785,deterministic_optout,3.0,3.0
81,1,1,2,64,50,none,right,1,750.3600000018196,deterministic_optout,0.0,3.0
82,1,1,2,64,50,deterministic,right,1,922.194999999192,deterministic_optout,0.0,3.0
83,1,1,2,60,50,deterministic,right,1,642.90500000061,deterministic_optout,1.0,3.0
84,1,1,2,52,50,deterministic,optout,False,801.9549999989977,deterministic_optout,3.0,2.0
85,1,1,2,60,50,none,right,1,621.2049999994633,deterministic_optout,1.0,3.0
86,1,1,2,56,50,none,right,0,1033.2850000013425,deterministic_optout,2.0,0.0
87,1,1,2,56,50,deterministic,right,1,816.3300000014715,deterministic_optout,2.0,3.0
88,1,1,2,60,50,none,right,1,767.0749999997497,deterministic_optout,1.0,3.0
89,1,1,2,60,50,deterministic,right,1,926.7650000001596,deterministic_optout,1.0,3.0
90,1,1,2,50,56,deterministic,left,1,730.5100000012317,deterministic_optout,2.0,3.0
91,1,1,2,52,50,deterministic,right,0,717.239999998128,deterministic_optout,3.0,0.0
92,1,1,2,50,52,deterministic,left,0,556.2900000004447,deterministic_optout,3.0,0.0
93,1,1,2,50,56,deterministic,left,1,650.3699999993842,deterministic_optout,2.0,3.0
94,1,1,2,50,52,deterministic,left,0,633.4900000001653,deterministic_optout,3.0,0.0
95,1,1,2,50,52,none,left,1,540.8900000002177,deterministic_optout,3.0,3.0
96,1,1,2,50,56,deterministic,left,1,611.1149999996996,deterministic_optout,2.0,3.0
97,1,1,2,60,50,deterministic,right,1,816.1149999978079,deterministic_optout,1.0,3.0
98,1,1,2,50,52,none,left,1,561.069999999745,deterministic_optout,3.0,3.0
99,1,1,2,50,64,deterministic,left,1,794.3249999989348,deterministic_optout,0.0,3.0
100,1,1,2,52,50,deterministic,right,1,741.21500000183,deterministic_optout,3.0,3.0
101,1,1,2,60,50,deterministic,right,0,1356.1100000006263,deterministic_optout,1.0,0.0
102,1,1,2,50,52,none,left,1,802.784999999858,deterministic_optout,3.0,3.0
103,1,1,2,50,64,deterministic,left,1,868.110000003071,deterministic_optout,0.0,3.0
104,1,1,2,64,50,deterministic,right,1,692.1750000001339,deterministic_optout,0.0,3.0
105,1,1,2,50,64,deterministic,left,1,664.9600000018836,deterministic_optout,0.0,3.0
106,1,1,2,50,56,deterministic,optout,False,776.7499999972642,deterministic_optout,2.0,2.0
107,1,1,2,64,50,deterministic,optout,False,906.0800000006566,deterministic_optout,0.0,2.0
108,1,1,2,56,50,deterministic,right,0,928.7050000020828,deterministic_optout,2.0,0.0
109,1,1,2,64,50,deterministic,right,1,699.4049999993877,deterministic_optout,0.0,3.0
110,1,1,2,50,60,deterministic,left,1,831.849999998667,deterministic_optout,1.0,3.0
111,1,1,2,52,50,deterministic,right,0,843.1849999979022,deterministic_optout,3.0,0.0
112,1,1,2,52,50,none,right,0,788.4749999975611,deterministic_optout,3.0,0.0
113,1,1,2,60,50,deterministic,right,1,804.0000000000873,deterministic_optout,1.0,3.0
114,1,1,2,50,64,none,left,1,596.7799999998533,deterministic_optout,0.0,3.0
115,1,1,2,64,50,deterministic,right,1,609.2500000013388,deterministic_optout,0.0,3.0
116,1,1,2,56,50,none,right,1,1088.8749999976426,deterministic_optout,2.0,3.0
117,1,1,2,56,50,deterministic,right,1,728.3800000004703,deterministic_optout,2.0,3.0
118,1,1,2,50,52,deterministic,left,0,890.4199999997218,deterministic_optout,3.0,0.0
119,1,1,2,56,50,deterministic,right,1,929.6749999994064,deterministic_optout,2.0,3.0
120,1,1,2,56,50,none,right,1,739.9299999997311,stochastic_optout,2.0,3.0
121,1,1,2,50,56,stochastic,left,1,755.3299999999581,stochastic_optout,2.0,3.0
122,1,1,2,52,50,stochastic,right,1,741.3900000028661,stochastic_optout,3.0,3.0
123,1,1,2,50,64,stochastic,optout,False,841.0399999993388,stochastic_optout,0.0,3.0
124,1,1,2,50,56,stochastic,left,0,931.110000001354,stochastic_optout,2.0,0.0
125,1,1,2,56,50,stochastic,optout,False,808.1400000010035,stochastic_optout,2.0,0.0
126,1,1,2,60,50,stochastic,right,1,598.664999997709,stochastic_optout,1.0,3.0
127,1,1,2,50,56,none,left,1,755.619999999908,stochastic_optout,2.0,3.0
128,1,1,2,50,56,stochastic,left,1,598.0649999983143,stochastic_optout,2.0,3.0
129,1,1,2,50,64,stochastic,left,1,610.3999999977532,stochastic_optout,0.0,3.0
130,1,1,2,56,50,none,right,1,607.015000001411,stochastic_optout,2.0,3.0
131,1,1,2,50,52,none,left,1,1029.0050000003248,stochastic_optout,3.0,3.0
132,1,1,2,60,50,none,right,1,1086.4049999981944,stochastic_optout,1.0,3.0
133,1,1,2,50,64,stochastic,optout,False,862.2850000028848,stochastic_optout,0.0,3.0
134,1,1,2,64,50,stochastic,right,1,607.2299999977986,stochastic_optout,0.0,3.0
135,1,1,2,64,50,stochastic,right,1,686.3300000004529,stochastic_optout,0.0,3.0
136,1,1,2,50,52,stochastic,left,0,1591.355000000476,stochastic_optout,3.0,0.0
137,1,1,2,60,50,none,right,1,987.4200000012934,stochastic_optout,1.0,3.0
138,1,1,2,64,50,stochastic,right,0,712.3949999986507,stochastic_optout,0.0,0.0
139,1,1,2,56,50,none,right,1,660.6200000023819,stochastic_optout,2.0,3.0
140,1,1,2,52,50,stochastic,optout,False,905.2149999988616,stochastic_optout,3.0,3.0
141,1,1,2,50,56,stochastic,left,1,689.5350000013423,stochastic_optout,2.0,3.0
142,1,1,2,50,52,none,left,1,760.9400000001187,stochastic_optout,3.0,3.0
143,1,1,2,60,50,none,right,1,1680.850000000646,stochastic_optout,1.0,3.0
144,1,1,2,50,52,stochastic,left,1,952.7750000015658,stochastic_optout,3.0,3.0
145,1,1,2,52,50,stochastic,optout,False,815.0099999984377,stochastic_optout,3.0,0.0
146,1,1,2,52,50,none,right,1,601.7250000004424,stochastic_optout,3.0,3.0
147,1,1,2,64,50,stochastic,right,1,937.0399999970688,stochastic_optout,0.0,3.0
148,1,1,2,64,50,stochastic,optout,False,793.8000000031025,stochastic_optout,0.0,3.0
149,1,1,2,50,56,stochastic,left,1,631.7400000007183,stochastic_optout,2.0,3.0
150,1,1,2,50,60,stochastic,left,1,842.5850000021455,stochastic_optout,1.0,3.0
151,1,1,2,52,50,stochastic,right,0,753.4299999970244,stochastic_optout,3.0,0.0
152,1,1,2,56,50,stochastic,optout,False,823.725000002014,stochastic_optout,2.0,3.0
153,1,1,2,50,64,none,left,1,939.1350000005332,stochastic_optout,0.0,3.0
154,1,1,2,50,52,stochastic,left,1,818.9700000002631,stochastic_optout,3.0,3.0
155,1,1,2,52,50,none,right,1,919.6149999988849,stochastic_optout,3.0,3.0
156,1,1,2,56,50,stochastic,optout,False,830.08499999778,stochastic_optout,2.0,3.0
157,1,1,2,56,50,none,right,1,1366.1150000007185,stochastic_optout,2.0,3.0
158,1,1,2,52,50,none,right,1,959.6999999994296,stochastic_optout,3.0,3.0
159,1,1,2,60,50,stochastic,right,1,645.9749999994528,stochastic_optout,1.0,3.0
160,1,1,2,50,60,stochastic,left,0,797.1999999972468,stochastic_optout,1.0,0.0
161,1,1,2,50,64,stochastic,left,0,997.1499999992376,stochastic_optout,0.0,0.0
162,1,1,2,64,50,none,right,1,724.595000003319,stochastic_optout,0.0,3.0
163,1,1,2,52,50,stochastic,right,1,760.6200000009267,stochastic_optout,3.0,3.0
164,1,1,2,50,56,stochastic,optout,False,808.9899999977206,stochastic_optout,2.0,3.0
165,1,1,2,50,64,none,left,1,698.9900000007765,stochastic_optout,0.0,3.0
166,1,1,2,60,50,stochastic,optout,False,912.6450000003388,stochastic_optout,1.0,3.0
167,1,1,2,64,50,stochastic,right,1,669.144999999844,stochastic_optout,0.0,3.0
168,1,1,2,50,56,stochastic,optout,False,734.5700000005309,stochastic_optout,2.0,3.0
169,1,1,2,52,50,stochastic,right,0,633.7149999999383,stochastic_optout,3.0,0.0
170,1,1,2,50,52,none,left,0,1228.769999997894,stochastic_optout,3.0,0.0
171,1,1,2,50,60,none,left,0,866.3899999992282,stochastic_optout,1.0,0.0
172,1,1,2,50,64,none,left,1,619.5900000020629,stochastic_optout,0.0,3.0
173,1,1,2,50,64,none,left,1,919.819999999163,stochastic_optout,0.0,3.0
174,1,1,2,60,50,stochastic,right,1,642.4850000003062,stochastic_optout,1.0,3.0
175,1,1,2,50,60,stochastic,optout,False,700.314999998227,stochastic_optout,1.0,3.0
176,1,1,2,50,60,stochastic,left,1,611.5649999992456,stochastic_optout,1.0,3.0
177,1,1,2,60,50,stochastic,right,1,553.7949999998091,stochastic_optout,1.0,3.0
178,1,1,2,64,50,none,right,1,665.724999998929,stochastic_optout,0.0,3.0
179,1,1,2,60,50,stochastic,right,1,616.1050000009709,stochastic_optout,1.0,3.0
180,1,1,2,50,60,stochastic,left,1,694.5000000014261,stochastic_optout,1.0,3.0
181,1,1,2,60,50,stochastic,right,1,615.4999999998836,stochastic_optout,1.0,3.0
182,1,1,2,50,56,stochastic,left,1,936.1300000018672,stochastic_optout,2.0,3.0
183,1,1,2,50,52,stochastic,optout,False,696.2549999989278,stochastic_optout,3.0,3.0
184,1,1,2,50,60,none,left,1,709.3850000019302,stochastic_optout,1.0,3.0
185,1,1,2,56,50,stochastic,right,1,540.5099999989034,stochastic_optout,2.0,3.0
186,1,1,2,50,52,stochastic,optout,False,1038.0699999986973,stochastic_optout,3.0,3.0
187,1,1,2,50,64,stochastic,left,1,505.314999998518,stochastic_optout,0.0,3.0
188,1,1,2,50,64,stochastic,left,1,717.8050000002258,stochastic_optout,0.0,3.0
189,1,1,2,50,52,stochastic,optout,False,781.4500000022235,stochastic_optout,3.0,3.0
190,1,1,2,50,52,none,left,0,675.6900000000314,stochastic_optout,3.0,0.0
191,1,1,2,64,50,none,right,1,684.4850000015867,stochastic_optout,0.0,3.0
192,1,1,2,50,56,none,left,0,948.88500000161,stochastic_optout,2.0,0.0
193,1,1,2,52,50,none,right,0,618.640000000596,stochastic_optout,3.0,0.0
194,1,1,2,60,50,none,right,1,634.7600000008242,stochastic_optout,1.0,3.0
195,1,1,2,50,64,none,left,1,706.7900000001828,stochastic_optout,0.0,3.0
196,1,1,2,56,50,none,right,1,627.9450000001816,stochastic_optout,2.0,3.0
197,1,1,2,50,60,stochastic,optout,False,1051.7949999994016,stochastic_optout,1.0,3.0
198,1,1,2,50,56,stochastic,left,1,660.8549999982642,stochastic_optout,2.0,3.0
199,1,1,2,50,60,stochastic,left,0,1169.0849999977218,stochastic_optout,1.0,0.0
200,1,1,2,50,52,stochastic,left,1,600.1350000005914,stochastic_optout,3.0,3.0
201,1,1,2,56,50,stochastic,right,1,559.8900000004505,stochastic_optout,2.0,3.0
202,1,1,2,50,60,stochastic,left,1,615.1250000002619,stochastic_optout,1.0,3.0
203,1,1,2,52,50,none,right,1,612.6249999979336,stochastic_optout,3.0,3.0
204,1,1,2,50,52,stochastic,left,1,632.4000000022352,stochastic_optout,3.0,3.0
205,1,1,2,52,50,stochastic,right,1,648.3850000004168,stochastic_optout,3.0,3.0
206,1,1,2,64,50,stochastic,right,1,633.79999999961,stochastic_optout,0.0,3.0
207,1,1,2,50,64,stochastic,optout,False,683.905000001716,stochastic_optout,0.0,0.0
208,1,1,2,60,50,none,right,1,659.5899999992689,stochastic_optout,1.0,3.0
209,1,1,2,50,60,stochastic,left,1,714.7450000011013,stochastic_optout,1.0,3.0
210,1,1,2,50,52,stochastic,optout,False,607.3249999972177,stochastic_optout,3.0,3.0
211,1,1,2,50,60,none,left,1,1208.1099999996368,stochastic_optout,1.0,3.0
212,1,1,2,64,50,none,right,1,635.420000002312,stochastic_optout,0.0,3.0
213,1,1,2,50,60,stochastic,left,1,615.7949999978882,stochastic_optout,1.0,3.0
214,1,1,2,50,64,stochastic,left,1,564.6950000009383,stochastic_optout,0.0,3.0
215,1,1,2,56,50,stochastic,right,1,587.1950000000652,stochastic_optout,2.0,3.0
216,1,1,2,56,50,stochastic,optout,False,732.5750000018161,stochastic_optout,2.0,3.0
217,1,1,2,50,64,stochastic,left,1,652.2299999996903,stochastic_optout,0.0,3.0
218,1,1,2,50,60,none,left,1,2039.7650000013527,stochastic_optout,1.0,3.0
219,1,1,2,64,50,none,right,1,1132.2450000006938,stochastic_optout,0.0,3.0
220,1,1,2,50,52,none,left,1,746.8100000005797,stochastic_optout,3.0,3.0
221,1,1,2,50,60,none,left,1,617.565000000468,stochastic_optout,1.0,3.0
222,1,1,2,64,50,stochastic,right,1,683.9399999990128,stochastic_optout,0.0,3.0
223,1,1,2,64,50,stochastic,right,1,627.3700000019744,stochastic_optout,0.0,3.0
224,1,1,2,56,50,stochastic,right,1,898.6750000003958,stochastic_optout,2.0,3.0
225,1,1,2,50,56,none,left,1,610.3399999992689,stochastic_optout,2.0,3.0
226,1,1,2,60,50,stochastic,right,1,680.9000000029919,stochastic_optout,1.0,3.0
227,1,1,2,56,50,stochastic,right,1,591.5099999983795,stochastic_optout,2.0,3.0
228,1,1,2,56,50,stochastic,right,0,868.2749999971129,stochastic_optout,2.0,0.0
229,1,1,2,50,56,none,left,0,1010.3100000015112,stochastic_optout,2.0,0.0
230,1,1,2,50,64,stochastic,left,1,719.0300000002608,stochastic_optout,0.0,3.0
231,1,1,2,52,50,stochastic,right,1,734.8950000014156,stochastic_optout,3.0,3.0
232,1,1,2,50,52,stochastic,left,1,811.9299999998766,stochastic_optout,3.0,3.0
233,1,1,2,60,50,stochastic,right,1,615.8450000002631,stochastic_optout,1.0,3.0
234,1,1,2,52,50,stochastic,right,0,792.5399999985821,stochastic_optout,3.0,0.0
235,1,1,2,64,50,stochastic,right,1,587.1800000022631,stochastic_optout,0.0,3.0
236,1,1,2,50,56,stochastic,optout,False,1157.924999999581,stochastic_optout,2.0,0.0
237,1,1,2,50,56,none,left,1,1035.6100000026054,stochastic_optout,2.0,3.0
238,1,1,2,60,50,stochastic,right,1,817.8599999991711,stochastic_optout,1.0,3.0
239,1,1,2,52,50,stochastic,right,0,533.2950000010896,stochastic_optout,3.0,0.0
240,2,1,2,50,60,deterministic,left,1,639.3100000004779,deterministic_optout,1.0,3.0
241,2,1,2,52,50,deterministic,optout,False,815.1900000011665,deterministic_optout,3.0,2.0
242,2,1,2,64,50,deterministic,right,1,614.8499999999331,deterministic_optout,0.0,3.0
243,2,1,2,52,50,deterministic,optout,False,753.3300000013696,deterministic_optout,3.0,2.0
244,2,1,2,50,52,deterministic,left,1,1485.76999999932,deterministic_optout,3.0,3.0
245,2,1,2,60,50,deterministic,right,1,1022.8449999995064,deterministic_optout,1.0,3.0
246,2,1,2,50,56,deterministic,optout,False,748.3549999997194,deterministic_optout,2.0,2.0
247,2,1,2,50,60,none,left,1,1048.370000000432,deterministic_optout,1.0,3.0
248,2,1,2,60,50,deterministic,optout,False,963.050000000294,deterministic_optout,1.0,2.0
249,2,1,2,56,50,deterministic,right,1,849.145000000135,deterministic_optout,2.0,3.0
250,2,1,2,52,50,deterministic,optout,False,989.7899999996298,deterministic_optout,3.0,2.0
251,2,1,2,50,56,none,left,1,804.6300000005431,deterministic_optout,2.0,3.0
252,2,1,2,60,50,deterministic,optout,False,911.0799999998562,deterministic_optout,1.0,2.0
253,2,1,2,50,52,none,left,1,3782.745000000432,deterministic_optout,3.0,3.0
